timestamp,LshoulderP,LshoulderR,LelbowY,LelbowR,LwristY
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.12,-0.005,0.005,-0.0,-0.01,-0.0
0.14,-0.005,0.005,-0.0,-0.01,-0.0
0.14,-0.005,0.005,-0.0,-0.01,-0.0
0.14,-0.005,0.005,-0.0,-0.01,-0.0
0.14,-0.005,0.005,-0.0,-0.01,-0.0
0.14,-0.005,0.005,-0.0,-0.01,-0.0
0.16,-0.005,0.005,-0.0,-0.01,-0.0
